short_name,council_name,abs_lga_name,abs_lga_code,stratum,is_local_government,is_indigenous_council,website,population_latest,population_latest_year,population_10yr_prior,census2021_total_persons,census2021_indigenous_persons,seifa_irsd_score,seifa_irsd_decile_aus,seifa_irsd_percentile_aus,seifa_irsd_decile_state,seifa_irsad_score,seifa_irsad_decile_aus,seifa_ier_score,seifa_ieo_score,median_age,median_personal_income_weekly,median_household_income_weekly,avg_household_size,avg_persons_per_bedroom,median_family_income_weekly,median_rent_weekly,median_mortgage_monthly,staff_data_year,staff_fte_indoor,staff_fte_outdoor,staff_fte_total,finance_data_year,total_operating_income_k,net_rates_and_utility_charges_k,employee_expenses_k,water_sewer_data_year,water_connections_total,water_connections_residential,sewerage_connections_total,adri_andri,adri_coping_capacity,adri_adaptive_capacity,adri_information_access,mean_remoteness_score,indigenous_share_pct,is_water_service_provider,above_soci_water_threshold,own_source_revenue_share,staff_per_1000_residents
Mareeba,Mareeba Regional Council,Mareeba,34880,remote,True,False,https://msc.qld.gov.au/,24205,2025,21812,22858,3260,937,3,23,4,921,3,952,922,43,655,1269,2.5,0.9,1596,275,1517,2015_16,97,114,211,2015_16,51081,26418,17006,2015_16,5635,4075,3790,0.3628,0.4204,0.3145,0.1011,3.98,14.3,True,False,0.517,8.72
McKinlay,McKinlay Regional Council,McKinlay,34800,very_remote,True,False,https://www.mckinlay.qld.gov.au,850,2025,876,836,43,1014,8,75,10,977,7,1017,937,36,1074,1733,2.5,0.8,2297,130,550,2015_16,26,45,71,2015_16,12881,2765,4773,2015_16,430,310,359,0.385,0.4024,0.3565,0.0998,5.0,5.1,True,False,0.215,83.53
Moreton Bay,Moreton Bay Regional Council,Moreton Bay,35010,seq_metro,True,False,https://www.moretonbay.qld.gov.au,532445,2025,428994,476340,18616,992,7,61,8,970,7,1012,955,39,761,1648,2.6,0.8,1957,360,1777,2015_16,968,509,1477,2015_16,482452,261086,126470,2015_16,0,,0,0.6254,0.6076,0.5571,0.6039,1.053,3.9,False,False,0.541,2.77
Mornington,Mornington Shire Council,Mornington,35250,indigenous,True,True,https://www.mornington.qld.gov.au,1099,2025,1202,1025,822,609,1,5,2,747,1,588,899,29,285,855,3.5,1.2,624,104,0,2015_16,14,82,96,2015_16,14927,1665,6365,2015_16,0,,0,0.2639,0.2123,0.2905,0.0483,5.0,80.2,False,False,0.112,87.35
Mount Isa,Mount Isa Regional Council,Mount Isa,35300,remote,True,False,https://www.mountisa.qld.gov.au,18585,2025,20586,18727,4020,972,5,45,7,954,6,938,927,31,1155,2231,2.6,0.9,2647,270,1536,2015_16,70,96,166,2015_16,52140,37282,11676,2015_16,7390,6716,7132,0.3163,0.2947,0.321,0.0998,4.174,21.5,True,False,0.715,8.93
Murweh,Murweh Regional Council,Murweh,35600,very_remote,True,False,https://www.murweh.qld.gov.au,4004,2025,4527,3971,458,948,3,29,5,930,4,943,930,43,798,1294,2.2,0.7,1766,170,867,2015_16,30,77,107,2015_16,17718,6084,6818,2015_16,2182,1919,1648,0.4413,0.4252,0.4216,0.0819,5.0,11.5,True,False,0.343,26.72
Napranum,Napranum Aboriginal Shire Council,Napranum,35670,indigenous,True,True,https://www.napranum.qld.gov.au,952,2025,959,883,716,623,1,5,2,738,1,619,818,27,342,788,3.7,1.3,924,121,0,2015_16,12,88,100,2015_16,14282,0,7396,2015_16,0,,0,0.3093,0.2935,0.3123,0.0569,4.0,81.1,False,False,0.0,105.04
Noosa,Noosa Regional Council,Noosa,35740,seq_metro,True,False,https://www.noosa.qld.gov.au,59551,2025,53497,56298,933,1030,9,83,10,1009,9,1029,1003,50,722,1467,2.4,0.8,1800,470,1900,2015_16,248,97,345,2015_16,93956,60665,27822,2015_16,0,,0,0.6933,0.6261,0.6398,0.521,1.0,1.7,False,False,0.646,5.79
North Burnett,North Burnett Regional Council,North Burnett,35760,outer_regional,True,False,https://northburnett.qld.gov.au/,10562,2025,10607,10068,708,902,2,13,3,888,2,943,887,49,555,1021,2.2,0.8,1317,200,1000,2015_16,85,124,209,2015_16,34657,14633,13892,2015_16,3349,2766,2721,0.445,0.3957,0.4445,0.0716,2.567,7.0,True,False,0.422,19.79
Northern Peninsula Area,Northern Peninsula Area Regional Council,Northern Peninsula Area,35780,indigenous,True,True,https://www.nparc.qld.gov.au,2944,2025,2836,2781,2285,702,1,6,3,792,1,636,881,23,604,1331,3.5,1.3,1287,120,1300,2015_16,,,0,2015_16,27562,1572,8927,2015_16,0,,0,0.1422,0.1691,0.141,0.0396,5.0,82.2,False,False,0.057,0.0
